ID,Name,Default short code,Functional group,Sources using,Annotation count,MERMAID_BA,MERMAID_GF,Note
793,Turf growing on hard substrate,TURFH,Algae,5,35502,Turf algae,,
2230,Turf on rubble,Turf_rubbl,Algae,14,3727,Turf algae,,
3930,Tydemania spp.,Tyd,Algae,46,2096,Tydemania,,
584,Ulva,Ulva,Algae,79,19072,Ulva,,
118,Unclear,Unc,Other,43,63347,Unknown,,
4719,Verrucaria,Verrucaria,Other,6,1969,Verrucaria,,Need to add to MERMAID: https://www.marinespecies.org/aphia.php?p=taxdetails&id=147701
4145,Unidentified,UNIden,Other,8,37633,Unknown,,
1647,Unknown,Unk,Other,228,23705,Unknown,,
2134,Unknown Invertebrate,Unkinvert,Other Invertebrates,5,2972,Other invertebrates,,
3591,Unknown macroalgae,UnkMacroa,Algae,9,4929,Macroalgae,,
2545,Wand,WAND,Other,14,2815,Other,,
5118,limestone_stable_substrate,limess,Hard Substrate,35,873,Bare substrate,,Not sure
5306,Holes,Holes,Other,5,509,,,Suggest to remove
461,Water,WATER,Other,28,40233,Other,,Suggest to remove
5648,Sargassum fluitans,S-flu,Algae,12,647,Sargassum fluitans,,Need to add to MERMAID: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157202
5818,Coral rubble,Rubble_cor,Soft Substrate,6,1696,Rubble,,
6151,Cover - Abundance of Cyanobacteria,C_A_Cyano,Other,8,922,Cyanobacteria,,
361,Worms: Polychaetes: Tube worms,WPTW,Other Invertebrates,19,3663,Other invertebrates,,
137,Xenia,Xeni,Other Invertebrates,11,2708,Xenia,,
6871,Padina boergesenii,Pad.boe,Algae,12,1447,Padina boergesenii,,Need to add to MERMAID: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145382
1175,XENIIDAE,XEN,Other Invertebrates,6,15732,Xeniidae,,
133,Zoanthid,Zoanthid,Other Invertebrates,113,7688,Zoanthid,,
7044,sea anenome,aneno,Other Invertebrates,5,576,Anemone,,
